# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
一念之差	yi nian zhi cha	32
一怔	yi zheng	4
一总	yi zong	30
一息尚存	yi xi shang cun	14
一意孤行	yi yi gu xing	89
一愣	yi leng	401
一成不变	yi cheng bu bian	217
一手	yi shou	2895
一手包办	yi shou bao ban	83
一手遮天	yi shou zhe tian	37
一扫而光	yi sao er guang	37
一扫而空	yi sao er kong	33
一批	yi pi	4310
一技之长	yi ji zhi chang	106
一把好手	yi ba hao shou	78
一把手	yi ba shou	107
一把抓	yi ba zhua	35
一拍即合	yi pai ji he	121
一挥而就	yi hui er jiu	2
一掷千金	yi zhi qian jin	19
一揽子	yi lan zi	26
一搏	yi bo	208
一支	yi zhi	6049
一改	yi gai	82
一整套	yi zheng tao	219
一文不值	yi wen bu zhi	173
一文不名	yi wen bu ming	4
一斑	yi ban	13
一新	yi xin	91
一方	yi fang	3961
一方面	yi fang mian	1690
一旁	yi pang	678
一无所得	yi wu suo de	9
一无所有	yi wu suo you	700
一无所求	yi wu suo qiu	4
一无所知	yi wu suo zhi	426
一无所能	yi wu suo neng	2
一无所获	yi wu suo huo	143
一无所见	yi wu suo jian	1
一无是处	yi wu shi chu	393
一日不见	yi ri bu jian	73
一日不见如隔三秋	yi ri bu jian ru ge san qiu	120
一日千里	yi ri qian li	20
一旦	yi dan	3996
一早	yi zao	2134
一时	yi shi	4028
一时一刻	yi shi yi ke	2
一时半会儿	yi shi ban hui er	150
一时半刻	yi shi ban ke	12
一时间	yi shi jian	85
一星儿	yi xing er	72
一星半点儿	yi xing ban dian er	7
一显身手	yi xian shen shou	28
一晃	yi huang	806
一望无垠	yi wang wu yin	9
一望无边	yi wang wu bian	2
一望无际	yi wang wu ji	109
一朝	yi zhao	72
一朝一夕	yi zhao yi xi	54
一本正经	yi ben zheng jing	1245
一朵	yi duo	1512
一朵小	yi duo xiao	301
一朵花	yi duo hua	483
一束	yi shu	402
一条	yi tiao	25478
